,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.53,20.04,60.8,87,0,2.24,ZA,1601931938
1,kapaa,22.08,-159.32,84.2,74,90,13.87,US,1601931939
2,khatanga,71.97,102.5,18.93,98,87,5.32,RU,1601931939
3,beyla,8.68,-8.63,67.84,95,97,1.57,GN,1601931939
4,katsuura,35.13,140.3,69.01,49,75,13.87,JP,1601931939
5,busselton,-33.65,115.33,48.0,59,99,8.55,AU,1601931939
6,puerto del rosario,28.5,-13.86,71.6,83,40,12.75,ES,1601931939
7,kodiak,57.79,-152.41,53.6,54,20,12.75,US,1601931940
8,bethel,41.37,-73.41,68.0,48,20,5.82,US,1601931769
9,quartucciu,39.25,9.18,64.0,82,0,6.93,IT,1601931940
10,souillac,-20.52,57.52,71.6,88,75,8.05,MU,1601931940
11,sitka,57.05,-135.33,51.8,81,90,13.87,US,1601931843
12,qaanaaq,77.48,-69.36,18.68,87,95,11.18,GL,1601931940
13,mahebourg,-20.41,57.7,71.6,88,75,8.05,MU,1601931941
14,hilo,19.73,-155.09,84.2,62,75,10.29,US,1601931648
15,port blair,11.67,92.75,80.37,85,32,7.76,IN,1601931941
16,hithadhoo,-0.6,73.08,82.2,72,100,11.52,MV,1601931941
17,lebu,-37.62,-73.65,49.41,71,0,14.38,CL,1601931941
18,margate,51.38,1.39,55.99,86,81,3.0,GB,1601931941
19,tasiilaq,65.61,-37.64,33.8,95,100,4.7,GL,1601931941
20,avarua,-21.21,-159.78,75.2,64,23,11.41,CK,1601931942
21,rikitea,-23.12,-134.97,73.98,81,100,17.11,PF,1601931942
22,ciudad bolivar,8.12,-63.55,91.38,52,46,3.91,VE,1601931942
23,ushuaia,-54.8,-68.3,44.6,70,75,21.92,AR,1601931688
24,bathsheba,13.22,-59.52,84.2,74,20,11.41,BB,1601931942
25,sao joao da barra,-21.64,-41.05,77.0,83,75,20.8,BR,1601931942
26,barrow,71.29,-156.79,33.8,80,90,12.75,US,1601931942
27,sisimiut,66.94,-53.67,27.41,91,25,4.29,GL,1601931943
28,alofi,-19.06,-169.92,77.0,88,75,11.41,NU,1601931943
29,grand gaube,-20.01,57.66,73.0,79,97,4.0,MU,1601931943
30,nouadhibou,20.93,-17.03,75.2,94,20,13.87,MR,1601931943
31,punta arenas,-53.15,-70.92,44.6,65,75,18.34,CL,1601931735
32,kansk,56.2,95.72,40.26,85,100,9.06,RU,1601931943
33,ostrovnoy,68.05,39.51,41.36,92,12,4.07,RU,1601931944
34,chuy,-33.7,-53.46,58.26,75,30,16.55,UY,1601931709
35,kourou,5.16,-52.65,78.8,88,88,2.24,GF,1601931944
36,verkh-usugli,52.7,115.17,25.43,88,0,1.3,RU,1601931944
37,camabatela,-8.19,15.38,66.83,93,100,2.08,AO,1601931944
38,port elizabeth,-33.92,25.57,60.8,93,6,10.29,ZA,1601931944
39,makakilo city,21.35,-158.09,84.2,62,75,5.82,US,1601931922
40,port macquarie,-31.43,152.92,62.01,100,40,5.82,AU,1601931945
41,inta,66.03,60.17,35.71,97,100,12.82,RU,1601931945
42,sept-iles,50.2,-66.38,43.0,93,75,4.7,CA,1601931945
43,grindavik,63.84,-22.43,39.2,86,40,9.17,IS,1601931945
44,mataura,-46.19,168.86,50.0,70,64,15.99,NZ,1601931945
45,bengkulu,-3.8,102.27,75.85,87,47,11.3,ID,1601931945
46,hobart,-42.88,147.33,39.2,80,20,5.82,AU,1601931658
47,savannah bight,16.45,-85.85,82.51,78,99,27.85,HN,1601931946
48,esperantina,-3.9,-42.23,87.04,52,93,10.92,BR,1601931946
49,lingao,19.91,109.69,79.27,85,84,12.19,CN,1601931946
50,jumla,29.27,82.18,51.57,56,0,4.94,NP,1601931946
51,atuona,-9.8,-139.03,77.79,79,3,17.76,PF,1601931947
52,vaini,-21.2,-175.2,75.2,88,75,11.41,TO,1601931947
53,camocim,-2.9,-40.84,81.61,66,58,20.04,BR,1601931947
54,hovd,48.01,91.64,38.62,68,3,7.31,MN,1601931947
55,comodoro rivadavia,-45.87,-67.5,68.0,18,96,24.16,AR,1601931676
56,rafsanjan,30.41,55.99,67.1,26,19,6.89,IR,1601931947
57,high level,58.52,-117.14,48.2,76,75,3.36,CA,1601931947
58,yulara,-25.24,130.99,51.8,81,90,5.82,AU,1601931948
59,hermanus,-34.42,19.23,55.0,94,2,2.75,ZA,1601931948
60,east london,-33.02,27.91,67.71,89,4,2.89,ZA,1601931948
61,majholi,23.5,79.92,69.21,47,83,1.5,IN,1601931948
62,butaritari,3.07,172.79,82.04,79,0,15.01,KI,1601931948
63,oistins,13.07,-59.53,84.2,74,20,11.41,BB,1601931949
64,chokurdakh,70.63,147.92,23.72,90,50,9.69,RU,1601931949
65,albany,42.6,-73.97,64.0,72,75,1.95,US,1601931925
66,badarwas,24.97,77.57,70.66,31,0,2.04,IN,1601931949
67,pevek,69.7,170.31,29.05,91,67,14.03,RU,1601931949
68,faanui,-16.48,-151.75,77.81,79,100,13.67,PF,1601931950
69,juneau,58.3,-134.42,53.01,81,90,18.34,US,1601931813
70,dikson,73.51,80.55,33.42,90,100,33.58,RU,1601931950
71,new norfolk,-42.78,147.06,39.0,87,4,2.95,AU,1601931950
72,komsomolskiy,40.43,71.72,55.4,32,100,9.17,UZ,1601931950
73,saskylakh,71.92,114.08,21.07,95,99,2.55,RU,1601931950
